Category,Subcategory,Item,Standard,GreenPointsª,Room,Verification Needed (Should be visible only in Client Portal),Legislation,Rebates/Incentives,Ecofacts,Product Solutions,Calculators,Filters
Energy, WATER HEATING ,High Efficiency Spray Valves," ² 1 gallon per minute;; ² 1,28 gallons per minute;; ²  1.5 gallons per minute",6.75;;6,,,,,,,,
Energy, WATER HEATING ,Energy Star Qualifed Dishwasher,Yes;;No,7.5;;0,,Invoice OR Photo showing manufacturer and model,,,,,,
Energy, WATER HEATING ,Washing Machine,Energy Star;;CEE Tier 2;;CEE Tier 3,2.5;;2.75;;3,,,,,,,,
Energy,Miscellaneous,High efficiency hand dryer that uses < 1500 W and has a drying time  < 15 seconds,Yes;;No,7.5;;0,,Invoice OR Photo showing manufacturer and model,,,,,,
Energy,Miscellaneous,Energy Star Qualified Television,Yes;;No,3;;0,,Invoice OR Photo showing manufacturer and model,,,,,,
Energy,Miscellaneous,Equipment timers,Yes;;No,3;;0,,Invoice,,,,,,
Energy,Miscellaneous,TRSA Clean Green certified linen service,Yes;;No,2;;0,,Invoice,,,,,,
Energy,Lighting,T8 lamps,Conventional;; CEE High Performance T8 Specifications;;meet CEE Reduced Wattage Spec,2.5;;3.75;4.25,,Lighting inventory for the entire space AND Invoice OR Photo where product info printed on the bulb is visible (hint: turn the lights off before taking a photo) OR Photo of the packaging,,,,,,
Energy,Lighting,T5,Yes;;No,4.25,,Lighting inventory for the entire space AND Invoice OR Photo where product info printed on the bulb is visible (hint: turn the lights off before taking a photo) OR Photo of the packaging,,,,,,
Energy,Lighting,High efficiency halogens - lumens per watt greater than 20,Yes;;No,5.25,,Lighting inventory for the entire space AND Invoice OR Photo of the bulb's packaging,,,,,,
Energy,Lighting,Compact fluorescent lamps (CFLs),Conventional;;Energy Star,7.5;;8.5,,Lighting inventory for the entire space AND Invoice OR Photo where the insides of the bulb are visible (hint: turn the lights off before taking a photo) OR Photo of the packaging,,,,,,
Energy,Lighting,LED lamps ,Yes;;No,18;;0,,Lighting inventory for the entire space AND Invoice OR Photo where the insides of the bulb are visible (hint: turn the lights off before taking a photo) OR Photo of the packaging,,,,,,
Energy,Lighting,Occupancy sensors - restrooms,Yes;;No,2.25;;0,,Invoice OR Photo where it is clear that the sensor is in a restroom,,,,,,
Energy,Lighting,Occupancy sensors - storage closets,Yes;;No,2.25;;0,,Invoice OR Photo where it is clear that the sensor is in a storage area,,,,,,
Energy,Lighting,"Occupancy sensors - walk-in, merchandiser, vending machine",Yes;;No,2.25;;0,,Invoice OR Photo where it is clear that the sensor is in a walk-in,,,,,,
Energy,Lighting,Occupancy sensors - office,Yes;;No,2.25;;0,,Invoice OR Photo where it is clear that the sensor is in an office,,,,,,
Energy,Lighting,Photocell / daylight sensors - dining room,Yes;;No,2.25;;0,,Invoice OR Photo where it is clear that the sensor is in the dining room,,,,,,
Energy,Lighting,Photocell / daylight sensors - kitchen and office space,Yes;;No,2.25;;0,,Invoice OR Photo where it is clear that the sensor is in the kitchen or office space,,,,,,
Energy,Lighting,Lighting timers,Yes;;No,2.25;;0,,Invoice OR Photo ,,,,,,
Energy,KITCHEN EQUIPMENT - COOKING,Fully Insulated Food Warmer,Yes;;No,2.25;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - COOKING,Holding Cabinet,EnergyStar;; CEE Tier 2,7.5;;11.25,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - COOKING,Steamer,Boilerless / Connectionless;;Energy Star,8;;11.25,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - COOKING,Energy Star Qualified Fryer,Yes;;No,11.25;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - COOKING,Energy Star Qualified Convection Oven,Yes;;No,11.25;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - COOKING,Infrared Charbroiler,Yes;;No,2.25;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - COOKING,Energy Star Qualified Griddle,Yes;;No,7.5;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - COOKING,Hood with Variable Volume Control,Yes;;No,3.5;;0,,Invoice OR Letter from contractor,,,,,,
Energy,KITCHEN EQUIPMENT - COOKING,Wall Mounted Exhaust Canopy ,Yes;;No,2.5;;0,,Invoice OR Letter from contractor,,,,,,
Energy,KITCHEN EQUIPMENT - COOKING,Engineered Proximity Hood,Yes;;No,3.5;;0,,Invoice OR Letter from contractor,,,,,,
Energy,KITCHEN EQUIPMENT - COOKING,FSTC Rebate Qualified Combination Oven,Yes;;No,11.25;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - COOKING,FSTC Rebate Qualified Conveyor Oven,Yes;;No,11.25;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - COOKING,FSTC Rebate Qualified Rack Oven,Yes;;No,11.25;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - REFRIGERATION,Energy Star Solid Door Reach-in Freezer,Yes;;No,6;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - REFRIGERATION,Energy Star Glass Door Reach-in Freezer,Yes;;No,6;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - REFRIGERATION,Energy Star Undercounter Freezer,Yes;;No,2.25;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - REFRIGERATION,Energy Star Solid Door Reach-in Refrigerator,Yes;;No,6;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - REFRIGERATION,Energy Star Glass Door Reach-in Refrigerator,Yes;;No,6;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - REFRIGERATION,Energy Star Undercounter Refrigerator,Yes;;No,2.25;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - REFRIGERATION,Ice Machine,Energy Star/CEE Tier 1;;CEE Tier 2,10;;11.25,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,KITCHEN EQUIPMENT - REFRIGERATION,Walk-In Refrigerator with an Electronically Commutated Motor (ECM),Yes;;No,4.5;;0,,Invoice,,,,,,
Energy,KITCHEN EQUIPMENT - REFRIGERATION,Walk-In Refrigerator with Strip Curtains ,Yes;;No,2.25;;0,,Invoice OR Photo,,,,,,
Energy,KITCHEN EQUIPMENT - REFRIGERATION,Walk-In Refrigerator with Temperature or Humidity Control Systems,Yes;;No,2.25;;0,,Invoice OR Photo,,,,,,
Energy,KITCHEN EQUIPMENT - REFRIGERATION,Merchandiser with T8 Lights and Night Curtain,Yes;;No,2.25;;0,,Work order,,,,,,
Energy,ANNUAL MAINTENANCE,"Refrigeration (including new gaskets), HVAC, cooking equipment",Yes;;No,4.5;;0,,Invoices OR Completed work orders,,,,,,
Energy,OFFICE EQUIPMENT,Energy Star Qualified Cordless Phone,Yes;;No,0.75;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,OFFICE EQUIPMENT,Energy Star Qualified Computer,Yes;;No,0.75;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,OFFICE EQUIPMENT,Energy Star Qualified Monitor,Yes;;No,0.75;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,OFFICE EQUIPMENT,Energy Star Qualified Printer,Yes;;No,0.75;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,OFFICE EQUIPMENT,"Energy Star Qualified Copier, Fax, Scanner & Printer",Yes;;No,1.5;;0,,Invoice OR Photo of sticker on machine showing manufacturer and model number,,,,,,
Energy,OFFICE EQUIPMENT,Smart Strip Power Strip,Yes;;No,0.75;;0,,Invoice OR Photo,,,,,,
Energy,RENEWABLE ENERGY,"On-site renewable energy  (solar panels, wind turbine, geothermal, solar water heater, solar exhaust) ",Yes;;No,333.5;;0,,Photo AND Documentation showing the percentage of energy use off-set as a result of the on-site renewables,,,,,,
Energy,RENEWABLE ENERGY,Green-e certified renewable energy credits (RECs) ,Yes;;No,20;;0,,Contract OR Letter from company from whom the credits were purchased ,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
